date,provider,service,region,cost,currency,is_anomaly,anomaly_type,anomaly_severity
2023-03-17,AWS,EC2,us-west-2,1294.9655,USD,False,,
2023-03-18,AWS,EC2,eu-west-1,809.8173,USD,False,,
2023-03-19,AWS,EC2,us-west-2,794.361,USD,False,,
2023-03-20,AWS,EC2,ap-southeast-1,1157.4671,USD,False,,
2023-03-21,AWS,EC2,ap-southeast-1,1058.5759,USD,False,,
2023-03-22,AWS,EC2,ap-southeast-1,1185.428,USD,False,,
2023-03-23,AWS,EC2,us-west-2,1243.6244,USD,False,,
2023-03-24,AWS,EC2,eu-west-1,1337.031,USD,False,,
2023-03-25,AWS,EC2,us-west-2,786.1591,USD,False,,
2023-03-26,AWS,EC2,us-west-2,774.5524,USD,False,,
2023-03-27,AWS,EC2,eu-west-1,1124.3408,USD,False,,
2023-03-28,AWS,EC2,ap-southeast-1,1414.8993,USD,False,,
2023-03-29,AWS,EC2,ap-southeast-1,1402.3679,USD,False,,
2023-03-30,AWS,EC2,eu-west-1,1369.159,USD,False,,
2023-03-31,AWS,EC2,us-west-2,1469.9214,USD,False,,
2023-04-01,AWS,EC2,us-west-2,736.9067,USD,False,,
2023-04-02,AWS,EC2,ap-southeast-1,768.9688,USD,False,,
2023-04-03,AWS,EC2,us-east-1,1011.1375,USD,False,,
2023-04-04,AWS,EC2,us-east-1,1194.8993,USD,False,,
2023-04-05,AWS,EC2,us-east-1,1214.5018,USD,False,,
2023-04-06,AWS,EC2,us-west-2,1170.3773,USD,False,,
2023-04-07,AWS,EC2,us-west-2,1305.8345,USD,False,,
2023-04-08,AWS,EC2,ap-southeast-1,845.0262,USD,False,,
2023-04-09,AWS,EC2,us-east-1,834.4645,USD,False,,
2023-04-10,AWS,EC2,ap-southeast-1,1177.9677,USD,False,,
2023-04-11,AWS,EC2,ap-southeast-1,1129.9007,USD,False,,
2023-04-12,AWS,EC2,ap-southeast-1,1213.8823,USD,False,,
2023-04-13,AWS,EC2,eu-west-1,1242.3185,USD,False,,
2023-04-14,AWS,EC2,us-east-1,1236.3336,USD,False,,
2023-04-15,AWS,EC2,us-east-1,828.1947,USD,False,,
2023-04-16,AWS,EC2,eu-west-1,851.9105,USD,False,,
2023-04-17,AWS,EC2,eu-west-1,1305.5943,USD,False,,
2023-04-18,AWS,EC2,us-east-1,1227.726,USD,False,,
2023-04-19,AWS,EC2,eu-west-1,1257.117,USD,False,,
2023-04-20,AWS,EC2,ap-southeast-1,1260.4637,USD,False,,
2023-04-21,AWS,EC2,us-west-2,1165.5325,USD,False,,
2023-04-22,AWS,EC2,ap-southeast-1,834.6092,USD,False,,
2023-04-23,AWS,EC2,us-east-1,838.347,USD,False,,
2023-04-24,AWS,EC2,eu-west-1,1341.2845,USD,False,,
2023-04-25,AWS,EC2,us-west-2,1206.535,USD,False,,
2023-04-26,AWS,EC2,us-east-1,1261.0378,USD,False,,
2023-04-27,AWS,EC2,eu-west-1,1264.1705,USD,False,,
2023-04-28,AWS,EC2,us-west-2,1397.2855,USD,False,,
2023-04-29,AWS,EC2,us-west-2,1016.9513,USD,False,,
2023-04-30,AWS,EC2,eu-west-1,998.2844,USD,False,,
2023-05-01,AWS,EC2,us-west-2,1115.812,USD,False,,
2023-05-02,AWS,EC2,us-east-1,1045.1859,USD,False,,
2023-05-03,AWS,EC2,eu-west-1,1194.9117,USD,False,,
2023-05-04,AWS,EC2,ap-southeast-1,1202.7724,USD,False,,
2023-05-05,AWS,EC2,us-east-1,1356.6885,USD,False,,
2023-05-06,AWS,EC2,us-east-1,947.958,USD,False,,
2023-05-07,AWS,EC2,eu-west-1,812.178,USD,False,,
2023-05-08,AWS,EC2,eu-west-1,1186.3077,USD,False,,
2023-05-09,AWS,EC2,us-west-2,1251.6675,USD,False,,
2023-05-10,AWS,EC2,us-east-1,1238.0816,USD,False,,
2023-05-11,AWS,EC2,us-west-2,1194.2736,USD,False,,
2023-05-12,AWS,EC2,us-east-1,1323.7796,USD,False,,
2023-05-13,AWS,EC2,us-east-1,809.7655,USD,False,,
2023-05-14,AWS,EC2,ap-southeast-1,875.5574,USD,False,,
2023-05-15,AWS,EC2,us-east-1,1165.8493,USD,False,,
2023-05-16,AWS,EC2,us-west-2,1343.2458,USD,False,,
2023-05-17,AWS,EC2,us-west-2,1221.4649,USD,False,,
2023-05-18,AWS,EC2,ap-southeast-1,1275.0043,USD,False,,
2023-05-19,AWS,EC2,us-west-2,1374.2122,USD,False,,
2023-05-20,AWS,EC2,eu-west-1,803.3139,USD,False,,
2023-05-21,AWS,EC2,ap-southeast-1,865.8461,USD,False,,
2023-05-22,AWS,EC2,us-west-2,1303.1215,USD,False,,
2023-05-23,AWS,EC2,us-west-2,1147.5177,USD,False,,
2023-05-24,AWS,EC2,eu-west-1,1284.194,USD,False,,
2023-05-25,AWS,EC2,ap-southeast-1,1313.9461,USD,False,,
2023-05-26,AWS,EC2,eu-west-1,1373.4109,USD,False,,
2023-05-27,AWS,EC2,ap-southeast-1,803.809,USD,False,,
2023-05-28,AWS,EC2,ap-southeast-1,920.39,USD,False,,
2023-05-29,AWS,EC2,us-east-1,1444.7222,USD,False,,
2023-05-30,AWS,EC2,us-west-2,1457.6589,USD,False,,
2023-05-31,AWS,EC2,us-west-2,1483.0351,USD,False,,
2023-06-01,AWS,EC2,us-east-1,1185.5511,USD,False,,
2023-06-02,AWS,EC2,eu-west-1,1147.1347,USD,False,,
2023-06-03,AWS,EC2,us-east-1,778.726,USD,False,,
2023-06-04,AWS,EC2,us-west-2,887.695,USD,False,,
2023-06-05,AWS,EC2,us-west-2,1205.3425,USD,False,,
2023-06-06,AWS,EC2,us-east-1,1394.1179,USD,False,,
2023-06-07,AWS,EC2,us-east-1,1331.1445,USD,False,,
2023-06-08,AWS,EC2,us-east-1,1246.5667,USD,False,,
2023-06-09,AWS,EC2,us-west-2,1395.0533,USD,False,,
2023-06-10,AWS,EC2,us-east-1,832.9086,USD,False,,
2023-06-11,AWS,EC2,us-east-1,910.1589,USD,False,,
2023-06-12,AWS,EC2,eu-west-1,1323.6423,USD,False,,
2023-06-13,AWS,EC2,us-east-1,1223.9828,USD,False,,
2023-06-14,AWS,EC2,us-west-2,1364.2525,USD,False,,
2023-06-15,AWS,EC2,eu-west-1,1354.1489,USD,False,,
2023-06-16,AWS,EC2,ap-southeast-1,1407.5505,USD,False,,
2023-06-17,AWS,EC2,us-west-2,959.5183,USD,False,,
2023-06-18,AWS,EC2,us-west-2,865.7638,USD,False,,
2023-06-19,AWS,EC2,ap-southeast-1,1205.1399,USD,False,,
2023-06-20,AWS,EC2,us-west-2,1220.734,USD,False,,
2023-06-21,AWS,EC2,ap-southeast-1,1249.6376,USD,False,,
2023-06-22,AWS,EC2,ap-southeast-1,1322.8902,USD,False,,
2023-06-23,AWS,EC2,us-west-2,7439.512123827976,USD,True,traffic_surge,high
2023-06-24,AWS,EC2,us-east-1,3433.763294653249,USD,True,traffic_surge,high
2023-06-25,AWS,EC2,us-east-1,2743.579045153177,USD,True,traffic_surge,high
2023-06-26,AWS,EC2,ap-southeast-1,1254.325,USD,False,,
2023-06-27,AWS,EC2,eu-west-1,1371.6868,USD,False,,
2023-06-28,AWS,EC2,ap-southeast-1,1479.7552,USD,False,,
2023-06-29,AWS,EC2,ap-southeast-1,1736.5503,USD,False,,
2023-06-30,AWS,EC2,ap-southeast-1,1606.4225,USD,False,,
2023-07-01,AWS,EC2,us-east-1,703.3102,USD,False,,
2023-07-02,AWS,EC2,us-east-1,695.5505,USD,False,,
2023-07-03,AWS,EC2,us-east-1,1075.3279,USD,False,,
2023-07-04,AWS,EC2,ap-southeast-1,1203.6059,USD,False,,
2023-07-05,AWS,EC2,eu-west-1,1285.5508,USD,False,,
2023-07-06,AWS,EC2,us-east-1,1295.2164,USD,False,,
2023-07-07,AWS,EC2,us-west-2,1284.6279,USD,False,,
2023-07-08,AWS,EC2,us-west-2,800.3971,USD,False,,
2023-07-09,AWS,EC2,us-west-2,772.5828,USD,False,,
2023-07-10,AWS,EC2,ap-southeast-1,1167.6323,USD,False,,
2023-07-11,AWS,EC2,us-west-2,1270.5139,USD,False,,
2023-07-12,AWS,EC2,ap-southeast-1,1255.6989,USD,False,,
2023-07-13,AWS,EC2,us-west-2,1187.5767,USD,False,,
2023-07-14,AWS,EC2,eu-west-1,1301.7031,USD,False,,
2023-07-15,AWS,EC2,ap-southeast-1,852.6824,USD,False,,
2023-07-16,AWS,EC2,us-west-2,799.7017,USD,False,,
2023-07-17,AWS,EC2,us-east-1,1204.6003,USD,False,,
2023-07-18,AWS,EC2,ap-southeast-1,1223.0322,USD,False,,
2023-07-19,AWS,EC2,us-east-1,1172.4926,USD,False,,
2023-07-20,AWS,EC2,us-east-1,1290.3212,USD,False,,
2023-07-21,AWS,EC2,us-east-1,1327.9531,USD,False,,
2023-07-22,AWS,EC2,us-east-1,882.691,USD,False,,
2023-07-23,AWS,EC2,us-west-2,881.5839,USD,False,,
2023-07-24,AWS,EC2,us-west-2,1114.1072,USD,False,,
2023-07-25,AWS,EC2,ap-southeast-1,1163.385,USD,False,,
2023-07-26,AWS,EC2,ap-southeast-1,1276.7748,USD,False,,
2023-07-27,AWS,EC2,ap-southeast-1,1301.4222,USD,False,,
2023-07-28,AWS,EC2,us-west-2,1525.1709,USD,False,,
2023-07-29,AWS,EC2,ap-southeast-1,1149.5192,USD,False,,
2023-07-30,AWS,EC2,us-east-1,991.4916,USD,False,,
2023-07-31,AWS,EC2,us-west-2,1455.4913,USD,False,,
2023-08-01,AWS,EC2,ap-southeast-1,1114.8207,USD,False,,
2023-08-02,AWS,EC2,us-east-1,1120.4135,USD,False,,
2023-08-03,AWS,EC2,ap-southeast-1,1088.6514,USD,False,,
2023-08-04,AWS,EC2,eu-west-1,1329.4076,USD,False,,
2023-08-05,AWS,EC2,ap-southeast-1,798.1783,USD,False,,
2023-08-06,AWS,EC2,eu-west-1,820.5387,USD,False,,
2023-08-07,AWS,EC2,ap-southeast-1,1157.6104,USD,False,,
2023-08-08,AWS,EC2,ap-southeast-1,1215.2458,USD,False,,
2023-08-09,AWS,EC2,us-west-2,1377.0225,USD,False,,
2023-08-10,AWS,EC2,us-west-2,1140.6289,USD,False,,
2023-08-11,AWS,EC2,eu-west-1,1325.9852,USD,False,,
2023-08-12,AWS,EC2,us-west-2,764.0228,USD,False,,
2023-08-13,AWS,EC2,us-east-1,811.5322,USD,False,,
2023-08-14,AWS,EC2,us-east-1,1252.1637,USD,False,,
2023-08-15,AWS,EC2,eu-west-1,1215.3114,USD,False,,
2023-08-16,AWS,EC2,us-east-1,1168.7666,USD,False,,
2023-08-17,AWS,EC2,us-east-1,1214.2215,USD,False,,
2023-08-18,AWS,EC2,ap-southeast-1,1326.7918,USD,False,,
2023-08-19,AWS,EC2,us-west-2,801.4309,USD,False,,
2023-08-20,AWS,EC2,us-east-1,840.9214,USD,False,,
2023-08-21,AWS,EC2,us-east-1,1191.3199,USD,False,,
2023-08-22,AWS,EC2,us-west-2,1173.04,USD,False,,
2023-08-23,AWS,EC2,us-east-1,1369.0319,USD,False,,
2023-08-24,AWS,EC2,us-east-1,1300.3806,USD,False,,
2023-08-25,AWS,EC2,us-west-2,1154.3293,USD,False,,
2023-08-26,AWS,EC2,ap-southeast-1,840.3423,USD,False,,
2023-08-27,AWS,EC2,us-east-1,805.1377,USD,False,,
2023-08-28,AWS,EC2,us-west-2,1426.4874,USD,False,,
2023-08-29,AWS,EC2,us-east-1,1340.4152,USD,False,,
2023-08-30,AWS,EC2,us-east-1,1415.1129,USD,False,,
2023-08-31,AWS,EC2,ap-southeast-1,1487.4739,USD,False,,
2023-09-01,AWS,EC2,eu-west-1,1241.7507,USD,False,,
2023-09-02,AWS,EC2,eu-west-1,725.2424,USD,False,,
2023-09-03,AWS,EC2,us-west-2,758.743,USD,False,,
2023-09-04,AWS,EC2,eu-west-1,1223.0912,USD,False,,
2023-09-05,AWS,EC2,us-west-2,1236.319,USD,False,,
2023-09-06,AWS,EC2,eu-west-1,1418.3478,USD,False,,
2023-09-07,AWS,EC2,ap-southeast-1,1355.443,USD,False,,
2023-09-08,AWS,EC2,us-west-2,1268.439,USD,False,,
2023-09-09,AWS,EC2,eu-west-1,917.8455,USD,False,,
2023-09-10,AWS,EC2,ap-southeast-1,970.8167,USD,False,,
2023-09-11,AWS,EC2,eu-west-1,1318.7408,USD,False,,
2023-09-12,AWS,EC2,us-east-1,1182.0713,USD,False,,
2023-09-13,AWS,EC2,us-east-1,1272.926,USD,False,,
2023-09-14,AWS,EC2,ap-southeast-1,1414.0084,USD,False,,
2023-09-15,AWS,EC2,us-east-1,1307.0965,USD,False,,
2023-09-16,AWS,EC2,us-east-1,897.8768,USD,False,,
2023-09-17,AWS,EC2,us-west-2,912.5266,USD,False,,
2023-09-18,AWS,EC2,eu-west-1,1196.9945,USD,False,,
2023-09-19,AWS,EC2,us-west-2,1276.6289,USD,False,,
2023-09-20,AWS,EC2,eu-west-1,1094.1099,USD,False,,
2023-09-21,AWS,EC2,us-east-1,1262.8319,USD,False,,
2023-09-22,AWS,EC2,us-west-2,1339.1699,USD,False,,
2023-09-23,AWS,EC2,eu-west-1,824.3457,USD,False,,
2023-09-24,AWS,EC2,eu-west-1,951.0844,USD,False,,
2023-09-25,AWS,EC2,us-west-2,1166.4929,USD,False,,
2023-09-26,AWS,EC2,ap-southeast-1,1253.4266,USD,False,,
2023-09-27,AWS,EC2,eu-west-1,1315.4712,USD,False,,
2023-09-28,AWS,EC2,us-east-1,1642.4794,USD,False,,
2023-09-29,AWS,EC2,eu-west-1,1449.1035,USD,False,,
2023-09-30,AWS,EC2,us-east-1,1070.8702,USD,False,,
2023-10-01,AWS,EC2,us-west-2,813.2706,USD,False,,
2023-10-02,AWS,EC2,eu-west-1,1104.3794,USD,False,,
2023-10-03,AWS,EC2,us-east-1,1212.1323,USD,False,,
2023-10-04,AWS,EC2,us-east-1,1386.5601,USD,False,,
2023-10-05,AWS,EC2,us-west-2,1357.4826,USD,False,,
2023-10-06,AWS,EC2,eu-west-1,1431.0529,USD,False,,
2023-10-07,AWS,EC2,eu-west-1,906.6206,USD,False,,
2023-10-08,AWS,EC2,us-west-2,929.8,USD,False,,
2023-10-09,AWS,EC2,eu-west-1,1364.6958,USD,False,,
2023-10-10,AWS,EC2,us-west-2,1454.4229,USD,False,,
2023-10-11,AWS,EC2,eu-west-1,1289.1162,USD,False,,
2023-10-12,AWS,EC2,ap-southeast-1,1550.1702,USD,False,,
2023-10-13,AWS,EC2,eu-west-1,1288.0733,USD,False,,
2023-10-14,AWS,EC2,us-east-1,918.2619,USD,False,,
2023-10-15,AWS,EC2,us-east-1,952.6278,USD,False,,
2023-10-16,AWS,EC2,ap-southeast-1,1340.7591,USD,False,,
2023-10-17,AWS,EC2,eu-west-1,1306.8094,USD,False,,
2023-10-18,AWS,EC2,us-east-1,1361.1199,USD,False,,
2023-10-19,AWS,EC2,us-east-1,1367.5071,USD,False,,
2023-10-20,AWS,EC2,eu-west-1,1386.6088,USD,False,,
2023-10-21,AWS,EC2,us-west-2,965.4804,USD,False,,
2023-10-22,AWS,EC2,eu-west-1,942.7944,USD,False,,
2023-10-23,AWS,EC2,us-west-2,1277.5528,USD,False,,
2023-10-24,AWS,EC2,ap-southeast-1,1410.7737,USD,False,,
2023-10-25,AWS,EC2,ap-southeast-1,1397.8543,USD,False,,
2023-10-26,AWS,EC2,us-east-1,1460.398,USD,False,,
2023-10-27,AWS,EC2,us-east-1,1475.047,USD,False,,
2023-10-28,AWS,EC2,us-east-1,1021.8534,USD,False,,
2023-10-29,AWS,EC2,us-west-2,1036.3181,USD,False,,
2023-10-30,AWS,EC2,us-east-1,1580.234,USD,False,,
2023-10-31,AWS,EC2,eu-west-1,1601.4119,USD,False,,
2023-11-01,AWS,EC2,us-west-2,1257.0573,USD,False,,
2023-11-02,AWS,EC2,ap-southeast-1,1290.2656,USD,False,,
2023-11-03,AWS,EC2,us-west-2,1390.6178,USD,False,,
2023-11-04,AWS,EC2,us-east-1,934.3786,USD,False,,
2023-11-05,AWS,EC2,eu-west-1,989.3275,USD,False,,
2023-11-06,AWS,EC2,eu-west-1,1361.9644,USD,False,,
2023-11-07,AWS,EC2,us-east-1,1388.2993,USD,False,,
2023-11-08,AWS,EC2,eu-west-1,1509.9182,USD,False,,
2023-11-09,AWS,EC2,us-west-2,1519.2156,USD,False,,
2023-11-10,AWS,EC2,us-west-2,1547.1983,USD,False,,
2023-11-11,AWS,EC2,us-east-1,1026.6521,USD,False,,
2023-11-12,AWS,EC2,eu-west-1,964.8835,USD,False,,
2023-11-13,AWS,EC2,ap-southeast-1,1424.097,USD,False,,
2023-11-14,AWS,EC2,us-west-2,1383.0728,USD,False,,
2023-11-15,AWS,EC2,us-west-2,1455.8215,USD,False,,
2023-11-16,AWS,EC2,us-west-2,1450.8404,USD,False,,
2023-11-17,AWS,EC2,us-west-2,1495.309,USD,False,,
2023-11-18,AWS,EC2,ap-southeast-1,993.336,USD,False,,
2023-11-19,AWS,EC2,us-east-1,925.288,USD,False,,
2023-11-20,AWS,EC2,us-west-2,1522.6134,USD,False,,
2023-11-21,AWS,EC2,eu-west-1,1335.4271,USD,False,,
2023-11-22,AWS,EC2,ap-southeast-1,1346.8655,USD,False,,
2023-11-23,AWS,EC2,us-west-2,1546.3245,USD,False,,
2023-11-24,AWS,EC2,eu-west-1,1548.4165,USD,False,,
2023-11-25,AWS,EC2,us-west-2,995.6466,USD,False,,
2023-11-26,AWS,EC2,us-east-1,995.9812,USD,False,,
2023-11-27,AWS,EC2,ap-southeast-1,1378.8264,USD,False,,
2023-11-28,AWS,EC2,us-east-1,1545.9532,USD,False,,
2023-11-29,AWS,EC2,ap-southeast-1,1656.7752,USD,False,,
2023-11-30,AWS,EC2,us-west-2,1625.5149,USD,False,,
2023-12-01,AWS,EC2,us-west-2,1438.4318,USD,False,,
2023-12-02,AWS,EC2,ap-southeast-1,882.5532,USD,False,,
2023-12-03,AWS,EC2,eu-west-1,852.5051,USD,False,,
2023-12-04,AWS,EC2,eu-west-1,1420.5075,USD,False,,
2023-12-05,AWS,EC2,us-west-2,1503.1815,USD,False,,
2023-12-06,AWS,EC2,us-west-2,1459.5169,USD,False,,
2023-12-07,AWS,EC2,us-east-1,1467.9923,USD,False,,
2023-12-08,AWS,EC2,us-west-2,1579.0279,USD,False,,
2023-12-09,AWS,EC2,ap-southeast-1,1023.6426,USD,False,,
2023-12-10,AWS,EC2,eu-west-1,985.7529,USD,False,,
2023-12-11,AWS,EC2,eu-west-1,1410.9969,USD,False,,
2023-12-12,AWS,EC2,us-east-1,1491.2271,USD,False,,
2023-12-13,AWS,EC2,eu-west-1,1394.3848,USD,False,,
2023-12-14,AWS,EC2,eu-west-1,1424.4979,USD,False,,
2023-12-15,AWS,EC2,ap-southeast-1,1505.3585,USD,False,,
2023-12-16,AWS,EC2,eu-west-1,1001.3804,USD,False,,
2023-12-17,AWS,EC2,us-east-1,1028.0519,USD,False,,
2023-12-18,AWS,EC2,us-east-1,1553.0478,USD,False,,
2023-12-19,AWS,EC2,eu-west-1,1538.746,USD,False,,
2023-12-20,AWS,EC2,us-west-2,1492.5686,USD,False,,
2023-12-21,AWS,EC2,eu-west-1,1532.2775,USD,False,,
2023-12-22,AWS,EC2,us-east-1,1484.5368,USD,False,,
2023-12-23,AWS,EC2,us-east-1,1012.1712,USD,False,,
2023-12-24,AWS,EC2,ap-southeast-1,998.6173,USD,False,,
2023-12-25,AWS,EC2,eu-west-1,1471.0363,USD,False,,
2023-12-26,AWS,EC2,eu-west-1,1415.7394,USD,False,,
2023-12-27,AWS,EC2,ap-southeast-1,1545.0832,USD,False,,
2023-12-28,AWS,EC2,us-east-1,1900.7048,USD,False,,
2023-12-29,AWS,EC2,ap-southeast-1,1789.1709,USD,False,,
2023-12-30,AWS,EC2,us-west-2,1189.5633,USD,False,,
2023-12-31,AWS,EC2,eu-west-1,1206.5383,USD,False,,
2024-01-01,AWS,EC2,us-east-1,956.1696,USD,False,,
2024-01-02,AWS,EC2,ap-southeast-1,1006.5417,USD,False,,
2024-01-03,AWS,EC2,us-east-1,1015.6776,USD,False,,
2024-01-04,AWS,EC2,us-west-2,1181.5303,USD,False,,
2024-01-05,AWS,EC2,eu-west-1,1151.8207,USD,False,,
2024-01-06,AWS,EC2,ap-southeast-1,777.6181,USD,False,,
2024-01-07,AWS,EC2,us-east-1,796.109,USD,False,,
2024-01-08,AWS,EC2,eu-west-1,1190.3375,USD,False,,
2024-01-09,AWS,EC2,eu-west-1,1186.4586,USD,False,,
2024-01-10,AWS,EC2,us-east-1,1278.7991,USD,False,,
2024-01-11,AWS,EC2,eu-west-1,1131.7083,USD,False,,
2024-01-12,AWS,EC2,eu-west-1,1251.5279,USD,False,,
2024-01-13,AWS,EC2,ap-southeast-1,784.5014,USD,False,,
2024-01-14,AWS,EC2,eu-west-1,862.6024,USD,False,,
2024-01-15,AWS,EC2,ap-southeast-1,1065.9313,USD,False,,
2024-01-16,AWS,EC2,eu-west-1,1085.6111,USD,False,,
2024-01-17,AWS,EC2,us-west-2,1120.9274,USD,False,,
2024-01-18,AWS,EC2,us-west-2,1052.8442,USD,False,,
2024-01-19,AWS,EC2,ap-southeast-1,1168.7625,USD,False,,
2024-01-20,AWS,EC2,ap-southeast-1,748.5505,USD,False,,
2024-01-21,AWS,EC2,us-west-2,784.0369,USD,False,,
2024-01-22,AWS,EC2,eu-west-1,1130.8367,USD,False,,
2024-01-23,AWS,EC2,ap-southeast-1,1240.6218,USD,False,,
2024-01-24,AWS,EC2,us-east-1,1211.5758,USD,False,,
2024-01-25,AWS,EC2,eu-west-1,1144.9994,USD,False,,
2024-01-26,AWS,EC2,eu-west-1,1147.4415,USD,False,,
2024-01-27,AWS,EC2,us-west-2,797.9479,USD,False,,
2024-01-28,AWS,EC2,ap-southeast-1,836.5996,USD,False,,
2024-01-29,AWS,EC2,eu-west-1,1396.971,USD,False,,
2024-01-30,AWS,EC2,ap-southeast-1,1382.5337,USD,False,,
2024-01-31,AWS,EC2,ap-southeast-1,1300.0841,USD,False,,
2024-02-01,AWS,EC2,ap-southeast-1,971.0996,USD,False,,
2024-02-02,AWS,EC2,us-west-2,1155.5147,USD,False,,
2024-02-03,AWS,EC2,ap-southeast-1,697.5337,USD,False,,
2024-02-04,AWS,EC2,us-west-2,846.6679,USD,False,,
2024-02-05,AWS,EC2,us-east-1,1048.3612,USD,False,,
2024-02-06,AWS,EC2,eu-west-1,1127.2855,USD,False,,
